%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
16.0, -187500.02235174447, 187500.0, 31369.175776144955, 37411.92518614831, 187500.0, 187500.0, -187500.02235174447, 31696.472370204017, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6989589532456634E9, 0.0, 2023-11-02 17:02:33.245
17.0, -187500.02235174447, 187500.0, 31366.940601699425, 37406.87369190141, 187500.0, 187500.0, -187500.02235174447, 31692.94079458008, -0.006, 0.984, -0.068, 192.0, 255.0, 208.0, 30.0, 192.0, 253.0, 224.0, 0.0, 0.0, 0.0, 1.6989589532456872E9, 0.0, 2023-11-02 17:02:33.245
18.0, -187500.02235174447, 187500.0, 31370.807453490193, 37409.28768030259, 187500.0, 187500.0, -187500.02235174447, 31695.533596936897, -0.006, 0.984, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6989589532457001E9, 0.0, 2023-11-02 17:02:33.245
19.0, -187500.02235174447, 187500.0, 31375.769540759273, 37408.706534946745, 187500.0, 187500.0, -187500.02235174447, 31699.020469071922, -0.006, 0.984, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6989589532457104E9, 0.0, 2023-11-02 17:02:33.245
20.0, -187500.02235174447, 187500.0, 31376.12716867056, 37400.10111333145, 187500.0, 187500.0, -187500.02235174447, 31698.439323716084, -0.006, 0.984, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6989589532457204E9, 0.0, 2023-11-02 17:02:33.245
21.0, -187500.02235174447, 187500.0, 31375.50131982581, 37395.31784001802, 187500.0, 187500.0, -187500.02235174447, 31698.0816958048, -0.006, 0.984, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69895895324573E9, 0.0, 2023-11-02 17:02:33.245
22.0, -187500.02235174447, 187500.0, 31373.243793635822, 37398.13415981938, 187500.0, 187500.0, -187500.02235174447, 31697.299384748865, -0.006, 0.984, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69895895324574E9, 0.0, 2023-11-02 17:02:33.245
23.0, -187500.02235174447, 187500.0, 31378.92113672747, 37391.20511903824, 187500.0, 187500.0, -187500.02235174447, 31702.50734120695, -0.006, 0.984, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6989589532457497E9, 0.0, 2023-11-02 17:02:33.245
24.0, -187500.02235174447, 187500.0, 31380.508110583796, 37377.34703747595, 187500.0, 187500.0, -187500.02235174447, 31703.669631918627, -0.006, 0.984, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6989589532457592E9, 0.0, 2023-11-02 17:02:33.245
25.0, -187500.02235174447, 187500.0, 31380.21753790588, 37365.1206332589, 187500.0, 187500.0, -187500.02235174447, 31704.004908085455, -0.006, 0.984, -0.068, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6989589532457688E9, 0.0, 2023-11-02 17:02:33.245
