
Recording start at: 2023-11-02 17:17:20.718457
White image shown at: 0:00:02.008632
White image shown at: 0:00:05.011414
White image shown at: 0:00:05.513354
White image shown at: 0:00:18.023506
White image shown at: 0:00:21.027630
White image shown at: 0:00:27.031907
White image shown at: 0:00:28.533238
White image shown at: 0:00:30.034644
White image shown at: 0:00:37.042208
White image shown at: 0:00:39.545871
White image shown at: 0:00:40.045817
White image shown at: 0:00:41.546383
White image shown at: 0:00:42.547157
White image shown at: 0:00:43.047679
White image shown at: 0:00:46.050937
White image shown at: 0:00:47.051337
White image shown at: 0:00:49.554604
White image shown at: 0:00:50.053889
White image shown at: 0:00:51.055858
White image shown at: 0:00:54.559878
White image shown at: 0:00:56.561181
White image shown at: 0:00:59.063509
