
Recording start at: 2023-11-25 19:45:09.604940
White image shown at: 0:00:01.015914
White image shown at: 0:00:07.562849
White image shown at: 0:00:11.593456
White image shown at: 0:00:14.113412
White image shown at: 0:00:18.137977
White image shown at: 0:00:20.155411
White image shown at: 0:00:25.198912
White image shown at: 0:00:27.710182
White image shown at: 0:00:33.249611
White image shown at: 0:00:36.771156
White image shown at: 0:00:39.284217
White image shown at: 0:00:41.798180
White image shown at: 0:00:45.827292
White image shown at: 0:00:47.840907
White image shown at: 0:00:50.863137
White image shown at: 0:00:56.913568
White image shown at: 0:01:05.478266
White image shown at: 0:01:09.509244
White image shown at: 0:01:13.530246
White image shown at: 0:01:15.549809
White image shown at: 0:01:16.555476
White image shown at: 0:01:17.562992
White image shown at: 0:01:18.567801
White image shown at: 0:01:22.097282
White image shown at: 0:01:23.105223
White image shown at: 0:01:25.113361
White image shown at: 0:01:27.637179
White image shown at: 0:01:29.149556
White image shown at: 0:01:34.187982
White image shown at: 0:01:36.708152
White image shown at: 0:01:38.221007
White image shown at: 0:01:39.731651
White image shown at: 0:01:42.253387
White image shown at: 0:01:43.760117
White image shown at: 0:01:44.767409
White image shown at: 0:01:49.296389
White image shown at: 0:01:51.814850
White image shown at: 0:01:54.838478
White image shown at: 0:01:55.845835
White image shown at: 0:01:59.371905
White image shown at: 0:02:02.903516
White image shown at: 0:02:04.917598
White image shown at: 0:02:07.935697
White image shown at: 0:02:11.464082
White image shown at: 0:02:20.016995
White image shown at: 0:02:22.028637
White image shown at: 0:02:25.050373
White image shown at: 0:02:26.058656
White image shown at: 0:02:28.069099
White image shown at: 0:02:30.585179
White image shown at: 0:02:32.099935
White image shown at: 0:02:33.611067
White image shown at: 0:02:39.660206
White image shown at: 0:02:42.682976
White image shown at: 0:02:45.707313
White image shown at: 0:02:49.234281
White image shown at: 0:02:51.744758
White image shown at: 0:02:54.758191
White image shown at: 0:02:56.773042
White image shown at: 0:03:05.332553
White image shown at: 0:03:06.341389
White image shown at: 0:03:09.856933
White image shown at: 0:03:11.871021
White image shown at: 0:03:13.381390
White image shown at: 0:03:14.388463
White image shown at: 0:03:15.898996
