
Recording start at: 2023-11-25 19:54:18.788984
White image shown at: 0:00:02.021395
White image shown at: 0:00:06.556849
White image shown at: 0:00:08.069349
White image shown at: 0:00:09.576026
White image shown at: 0:00:10.582559
White image shown at: 0:00:17.638316
White image shown at: 0:00:22.166205
White image shown at: 0:00:28.723012
White image shown at: 0:00:30.235488
White image shown at: 0:00:33.261510
White image shown at: 0:00:34.267452
White image shown at: 0:00:36.285480
White image shown at: 0:00:38.806250
White image shown at: 0:00:43.846798
White image shown at: 0:00:50.900338
White image shown at: 0:00:51.909064
White image shown at: 0:00:52.917058
White image shown at: 0:00:57.451539
White image shown at: 0:00:59.463963
White image shown at: 0:01:00.978302
White image shown at: 0:01:02.993058
White image shown at: 0:01:07.022384
White image shown at: 0:01:08.032714
White image shown at: 0:01:09.540491
White image shown at: 0:01:10.545281
White image shown at: 0:01:14.066620
White image shown at: 0:01:21.117816
White image shown at: 0:01:23.128722
White image shown at: 0:01:25.139060
White image shown at: 0:01:28.163625
White image shown at: 0:01:32.190022
White image shown at: 0:01:40.255620
White image shown at: 0:01:43.781825
White image shown at: 0:01:47.803585
White image shown at: 0:01:49.813944
White image shown at: 0:01:51.323577
White image shown at: 0:01:56.358981
White image shown at: 0:02:01.396043
White image shown at: 0:02:05.422879
White image shown at: 0:02:14.978693
White image shown at: 0:02:15.982628
White image shown at: 0:02:18.994609
White image shown at: 0:02:19.996447
White image shown at: 0:02:22.506495
White image shown at: 0:02:23.515236
White image shown at: 0:02:24.525148
White image shown at: 0:02:25.534210
White image shown at: 0:02:29.564002
White image shown at: 0:02:39.131642
White image shown at: 0:02:40.142126
White image shown at: 0:02:41.151161
White image shown at: 0:02:42.159998
White image shown at: 0:02:44.676712
White image shown at: 0:02:45.686215
White image shown at: 0:02:50.217978
White image shown at: 0:02:55.256780
White image shown at: 0:02:57.777870
White image shown at: 0:02:58.787503
White image shown at: 0:02:59.789042
White image shown at: 0:03:04.820889
White image shown at: 0:03:07.335931
White image shown at: 0:03:08.850748
White image shown at: 0:03:10.361119
White image shown at: 0:03:14.387464
White image shown at: 0:03:17.912581
White image shown at: 0:03:20.933710
White image shown at: 0:03:23.447972
White image shown at: 0:03:26.977483
