
Recording start at: 2023-11-25 19:34:41.415419
White image shown at: 0:00:05.044193
White image shown at: 0:00:07.064651
White image shown at: 0:00:09.586658
White image shown at: 0:00:11.097342
White image shown at: 0:00:24.702383
White image shown at: 0:00:27.217389
White image shown at: 0:00:28.224845
White image shown at: 0:00:29.737684
White image shown at: 0:00:31.746509
White image shown at: 0:00:37.784241
White image shown at: 0:00:45.333654
White image shown at: 0:00:46.338343
White image shown at: 0:00:50.366879
White image shown at: 0:00:51.877223
White image shown at: 0:00:54.906167
White image shown at: 0:00:56.915967
White image shown at: 0:00:58.933853
White image shown at: 0:01:00.443249
White image shown at: 0:01:04.978520
White image shown at: 0:01:09.502604
White image shown at: 0:01:10.507757
White image shown at: 0:01:11.510683
White image shown at: 0:01:15.032758
White image shown at: 0:01:16.543994
White image shown at: 0:01:19.063451
White image shown at: 0:01:21.585971
White image shown at: 0:01:24.605416
White image shown at: 0:01:25.610400
White image shown at: 0:01:26.619223
White image shown at: 0:01:28.124353
White image shown at: 0:01:33.167259
White image shown at: 0:01:40.721813
White image shown at: 0:01:50.299364
White image shown at: 0:01:51.304648
White image shown at: 0:01:53.824860
White image shown at: 0:01:55.338626
White image shown at: 0:02:00.867650
White image shown at: 0:02:01.874423
White image shown at: 0:02:02.883531
White image shown at: 0:02:03.888894
White image shown at: 0:02:04.888575
White image shown at: 0:02:05.893395
White image shown at: 0:02:10.929326
White image shown at: 0:02:11.937029
White image shown at: 0:02:18.992949
White image shown at: 0:02:20.001397
White image shown at: 0:02:22.515344
White image shown at: 0:02:23.522723
White image shown at: 0:02:28.552944
White image shown at: 0:02:30.062076
White image shown at: 0:02:33.590928
White image shown at: 0:02:36.108544
White image shown at: 0:02:40.137012
White image shown at: 0:02:42.153483
White image shown at: 0:02:44.166298
White image shown at: 0:02:45.677407
White image shown at: 0:02:48.698913
White image shown at: 0:02:53.239144
White image shown at: 0:02:54.743406
White image shown at: 0:02:56.761938
White image shown at: 0:02:59.777902
White image shown at: 0:03:02.297650
White image shown at: 0:03:08.338871
