Recording start at: 2023-11-25 19:24:44.612010
White image shown at: 0:00:01.016024
White image shown at: 0:00:02.022921
White image shown at: 0:00:05.047835
White image shown at: 0:00:06.054751
White image shown at: 0:00:11.086723
White image shown at: 0:00:13.604822
White image shown at: 0:00:15.112351
White image shown at: 0:00:16.620285
White image shown at: 0:00:17.626520
White image shown at: 0:00:18.636735
White image shown at: 0:00:22.163434
White image shown at: 0:00:23.674857
White image shown at: 0:00:34.733316
White image shown at: 0:00:35.739765
White image shown at: 0:00:38.760524
White image shown at: 0:00:42.787697
White image shown at: 0:00:44.302334
White image shown at: 0:00:47.327459
White image shown at: 0:00:51.353573
White image shown at: 0:00:55.384898
White image shown at: 0:01:00.929993
White image shown at: 0:01:07.984615
White image shown at: 0:01:10.507767
White image shown at: 0:01:12.520782
White image shown at: 0:01:16.053095
White image shown at: 0:01:21.094914
White image shown at: 0:01:24.120819
White image shown at: 0:01:26.636637
White image shown at: 0:01:29.154470
White image shown at: 0:01:31.674833
White image shown at: 0:01:35.203361
White image shown at: 0:01:41.740668
White image shown at: 0:01:50.806875
White image shown at: 0:01:54.333483
White image shown at: 0:01:58.865514
White image shown at: 0:02:02.899259
White image shown at: 0:02:04.911726
White image shown at: 0:02:07.936625
White image shown at: 0:02:09.945524
White image shown at: 0:02:11.454762
White image shown at: 0:02:12.967353
White image shown at: 0:02:16.984170
White image shown at: 0:02:21.009377
White image shown at: 0:02:22.019161
White image shown at: 0:02:23.528959
White image shown at: 0:02:28.056453
White image shown at: 0:02:30.576292
White image shown at: 0:02:32.590194
White image shown at: 0:02:33.599321
White image shown at: 0:02:36.121509
White image shown at: 0:02:42.656499
White image shown at: 0:02:49.203127
White image shown at: 0:02:50.719915
White image shown at: 0:02:52.735090
White image shown at: 0:02:56.760395
White image shown at: 0:02:59.284391
White image shown at: 0:03:01.800610
White image shown at: 0:03:08.345401
White image shown at: 0:03:09.351759
