$ python process_train_nov25_newtrain_conf.py 
train_data_size, train_data_true_count, train_data_false_count:
1645 813 832
val_data_size, val_data_true_count, val_data_false_count:
470 243 227
test_data_size, test_data_true_count, test_data_false_count:
235 109 126
epoch: 20, train acc: 0.5094224924012158, val acc: 0.4829787234042553
epoch: 40, train acc: 0.5009118541033435, val acc: 0.5063829787234042
epoch: 60, train acc: 0.5094224924012158, val acc: 0.5361702127659574
epoch: 80, train acc: 0.4869300911854103, val acc: 0.5085106382978724
epoch: 100, train acc: 0.4990881458966565, val acc: 0.49148936170212765
epoch: 120, train acc: 0.5063829787234042, val acc: 0.5361702127659574
epoch: 140, train acc: 0.5082066869300912, val acc: 0.5148936170212766
epoch: 160, train acc: 0.5185410334346504, val acc: 0.5191489361702127
epoch: 180, train acc: 0.5294832826747721, val acc: 0.5234042553191489
epoch: 200, train acc: 0.5483282674772036, val acc: 0.5127659574468085
epoch: 220, train acc: 0.5477203647416413, val acc: 0.5
epoch: 240, train acc: 0.5379939209726444, val acc: 0.5170212765957447
epoch: 260, train acc: 0.5379939209726444, val acc: 0.5191489361702127
epoch: 280, train acc: 0.5428571428571428, val acc: 0.49361702127659574
epoch: 300, train acc: 0.5513677811550152, val acc: 0.5361702127659574
epoch: 320, train acc: 0.5519756838905775, val acc: 0.5063829787234042
epoch: 340, train acc: 0.5477203647416413, val acc: 0.5659574468085107
epoch: 360, train acc: 0.5592705167173252, val acc: 0.5148936170212766
epoch: 380, train acc: 0.5617021276595745, val acc: 0.502127659574468
epoch: 400, train acc: 0.5641337386018237, val acc: 0.5957446808510638
epoch: 420, train acc: 0.5683890577507599, val acc: 0.5404255319148936
epoch: 440, train acc: 0.5817629179331307, val acc: 0.5468085106382978
epoch: 460, train acc: 0.5829787234042553, val acc: 0.5468085106382978
epoch: 480, train acc: 0.5957446808510638, val acc: 0.5276595744680851
epoch: 500, train acc: 0.5811550151975684, val acc: 0.548936170212766
epoch: 520, train acc: 0.5939209726443769, val acc: 0.5553191489361702
epoch: 540, train acc: 0.5775075987841946, val acc: 0.5531914893617021
epoch: 560, train acc: 0.5872340425531914, val acc: 0.4851063829787234
epoch: 580, train acc: 0.6036474164133738, val acc: 0.5468085106382978
epoch: 600, train acc: 0.5908814589665653, val acc: 0.5531914893617021
epoch: 620, train acc: 0.6054711246200608, val acc: 0.5404255319148936
epoch: 640, train acc: 0.6212765957446809, val acc: 0.5680851063829787
epoch: 660, train acc: 0.6133738601823708, val acc: 0.5638297872340425
epoch: 680, train acc: 0.6170212765957447, val acc: 0.5680851063829787
epoch: 700, train acc: 0.6085106382978723, val acc: 0.5234042553191489
epoch: 720, train acc: 0.6170212765957447, val acc: 0.5851063829787234
epoch: 740, train acc: 0.6151975683890577, val acc: 0.5638297872340425
epoch: 760, train acc: 0.5884498480243161, val acc: 0.5851063829787234
epoch: 780, train acc: 0.6243161094224924, val acc: 0.5446808510638298
epoch: 800, train acc: 0.6085106382978723, val acc: 0.5936170212765958
epoch: 820, train acc: 0.617629179331307, val acc: 0.5680851063829787
epoch: 840, train acc: 0.6243161094224924, val acc: 0.551063829787234
epoch: 860, train acc: 0.6237082066869301, val acc: 0.5787234042553191
epoch: 880, train acc: 0.6389057750759879, val acc: 0.5872340425531914
epoch: 900, train acc: 0.6237082066869301, val acc: 0.5595744680851064
epoch: 920, train acc: 0.6310030395136779, val acc: 0.597872340425532
epoch: 940, train acc: 0.6243161094224924, val acc: 0.5702127659574469
epoch: 960, train acc: 0.6395136778115501, val acc: 0.5723404255319149
epoch: 980, train acc: 0.6322188449848024, val acc: 0.574468085106383
epoch: 1000, train acc: 0.6310030395136779, val acc: 0.574468085106383
